Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.651637,-2.38606,0,0.0109811,0.993958,-0.0023571,0
0.651542,-2.14412,0,0.0117494,0.992816,-0.00260529,0
0.651455,-1.92418,0,0.0123601,0.991773,-0.00283466,0
0.651377,-1.72423,0,0.0130589,0.990778,-0.00307597,0
0.651305,-1.54246,0,0.0136983,0.989868,-0.00330496,0
0.65124,-1.37721,0,0.0142994,0.989086,-0.00351977,0
0.651181,-1.22699,0,0.0148242,0.98847,-0.00370775,0
0.651127,-1.09042,0,0.0152351,0.988027,-0.00385072,0
0.651078,-0.966264,0,0.0154876,0.987876,-0.00392942,0
0.651033,-0.853398,0,0.0155474,0.987947,-0.00391522,0
0.650993,-0.750793,0,0.0153383,0.988463,-0.00378716,0
0.650956,-0.657515,0,0.0148414,0.989268,-0.00351341,0
0.650923,-0.572717,0,0.0140025,0.990563,-0.00307003,0
0.650892,-0.495628,0,0.0127425,0.992201,-0.00246528,0
0.650865,-0.425547,0,0.0109977,0.994672,-0.00172879,0
0.65084,-0.361837,0,0.00903427,0.995615,-0.000776759,0
0.673469,-6,0,0.00853724,1,0,0
0.673257,-5.42956,0,0.00362827,1.00114,-0.000439312,0
0.673064,-4.91097,0,0.00842537,1.00001,-0.00159273,0
0.672888,-4.43953,0,0.00682754,0.999513,-0.000930281,0
0.672729,-4.01095,0,0.00831398,0.999307,-0.00140777,0
0.672583,-3.62133,0,0.00858705,0.997933,-0.00153489,0
0.672452,-3.26713,0,0.00921397,0.997309,-0.00169709,0
0.672332,-2.94513,0,0.00971628,0.996134,-0.00195815,0
0.672223,-2.65241,0,0.0104536,0.995029,-0.00217582,0
0.672124,-2.38629,0,0.0109562,0.993979,-0.00240376,0
0.672033,-2.14437,0,0.0117209,0.992838,-0.00265694,0
0.671951,-1.92444,0,0.0123285,0.991798,-0.00288989,0
0.671877,-1.7245,0,0.0130226,0.990805,-0.00313272,0
0.671809,-1.54274,0,0.0136593,0.989895,-0.00336021,0
0.671748,-1.3775,0,0.0142581,0.989113,-0.00356852,0
0.671692,-1.22729,0,0.0147834,0.988494,-0.00374297,0
0.671641,-1.09073,0,0.015199,0.988043,-0.00386242,0
0.671595,-0.966583,0,0.0154631,0.987879,-0.00390398,0
0.671553,-0.853724,0,0.0155438,0.987927,-0.00383497,0
0.671515,-0.751125,0,0.0153685,0.988411,-0.00362976,0
0.67148,-0.657853,0,0.0149235,0.989169,-0.00325095,0
0.671448,-0.573061,0,0.0141544,0.990404,-0.00267168,0
0.671419,-0.495977,0,0.0129764,0.991979,-0.00190035,0
0.671393,-0.4259,0,0.0113484,0.994375,-0.000961071,0
0.67137,-0.362194,0,0.00950311,0.995217,0.000226144,0
0.693878,-6,0,0.00854106,1,0,0
0.693677,-5.42959,0,0.0035839,1.00118,-0.000450422,0
0.693495,-4.91104,0,0.00841719,1.00001,-0.00163648,0
0.69333,-4.43963,0,0.00684099,0.9995,-0.000954458,0
0.69318,-4.01108,0,0.00828792,0.999333,-0.00142917,0
0.693043,-3.62148,0,0.00858366,0.997936,-0.00156795,0
0.692919,-3.26731,0,0.00919752,0.997325,-0.00172845,0
0.692806,-2.94533,0,0.00969695,0.996152,-0.0019949,0
0.692703,-2.65262,0,0.0104336,0.995045,-0.00221814,0
0.69261,-2.38652,0,0.0109309,0.994,-0.00245024,0
0.692525,-2.14461,0,0.0116919,0.992861,-0.00270834,0
0.692448,-1.92469,0,0.0122964,0.991822,-0.00294479,0
0.692377,-1.72477,0,0.0129858,0.990832,-0.00318907,0
0.692314,-1.54302,0,0.0136201,0.989922,-0.00341499,0
0.692256,-1.3778,0,0.0142171,0.989139,-0.00361687,0
0.692203,-1.22759,0,0.0147439,0.988516,-0.00377806,0
0.692155,-1.09104,0,0.0151657,0.988055,-0.00387466,0
0.692112,-0.966902,0,0.0154437,0.987875,-0.00388034,0
0.692072,-0.85405,0,0.0155487,0.987896,-0.00375869,0
0.692036,-0.751458,0,0.0154122,0.988341,-0.0034797,0
0.692003,-0.658192,0,0.0150264,0.989043,-0.00300088,0
0.691974,-0.573405,0,0.0143361,0.990208,-0.00229286,0
0.691946,-0.496325,0,0.013252,0.991707,-0.00136298,0
0.691922,-0.426253,0,0.0117565,0.99401,-0.000226419,0
0.6919,-0.362551,0,0.0100437,0.994738,0.00119551,0
0.714286,-6,0,0.00854415,1,0,0
0.714098,-5.42963,0,0.00353856,1.00123,-0.000461601,0
0.713927,-4.91111,0,0.00840859,1.00002,-0.00168121,0
0.713772,-4.43973,0,0.00685543,0.999485,-0.00097868,0
0.713631,-4.0112,0,0.0082614,0.999359,-0.0014503,0
0.713503,-3.62163,0,0.00857994,0.997938,-0.00160114,0
0.713386,-3.26748,0,0.00918103,0.99734,-0.00175978,0
0.71328,-2.94552,0,0.00967708,0.99617,-0.00203148,0
0.713183,-2.65283,0,0.0104132,0.995062,-0.00226035,0
0.713096,-2.38675,0,0.010905,0.994022,-0.00249652,0
0.713016,-2.14486,0,0.0116622,0.992884,-0.00275947,0
0.712944,-1.92495,0,0.0122637,0.991847,-0.00299936,0
0.712878,-1.72504,0,0.0129485,0.990859,-0.00324501,0
0.712818,-1.5433,0,0.0135806,0.989949,-0.00346939,0
0.712764,-1.37809,0,0.0141763,0.989164,-0.003665,0
0.712714,-1.22789,0,0.0147055,0.988535,-0.00381341,0
0.712669,-1.09135,0,0.015135,0.988063,-0.00388811,0
0.712628,-0.967221,0,0.015429,0.987863,-0.00385965,0
0.712591,-0.854377,0,0.0155615,0.987853,-0.00368812,0
0.712557,-0.75179,0,0.0154684,0.988253,-0.00333901,0
0.712527,-0.65853,0,0.0151477,0.988891,-0.00276431,0
0.712499,-0.573749,0,0.0145433,0.989976,-0.00193125,0
0.712473,-0.496674,0,0.0135639,0.991388,-0.000844409,0
0.71245,-0.426606,0,0.0122166,0.993578,0.000491411,0
0.712429,-0.362909,0,0.0106538,0.994175,0.0021517,0
0.734694,-6,0,0.00854658,1,0,0
0.734518,-5.42967,0,0.0034922,1.00128,-0.000473189,0
